"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"41","tt0431021","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Possession","Feature Film","Ole Bornedal","","5.9","92","2012","horror, thriller","46694","2012-08-30","http://www.imdb.com/title/tt0431021/"
"42","tt1496025","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Underworld: Awakening","Feature Film","Mårlind, Stein","4","6.4","88","2012","action, fantasy, horror","115799","2012-01-19","http://www.imdb.com/title/tt1496025/"
"43","tt1596365","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Woman in Black","Feature Film","James Watkins","6","6.4","95","2012","drama, fantasy, horror, thriller","138251","2012-02-03","http://www.imdb.com/title/tt1596365/"
"44","tt1959332","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","American Mary","Feature Film","Jen Soska, Sylvia Soska","","6.3","103","2012","crime, drama, horror","16445","2012-08-27","http://www.imdb.com/title/tt1959332/"
"45","tt1999995","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Would You Rather","Feature Film","David Guy Levy","6","5.8","93","2012","horror","22275","2012-10-14","http://www.imdb.com/title/tt1999995/"
"46","tt1457767","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Conjuring","Feature Film","James Wan","5","7.5","112","2013","horror, mystery, thriller","287258","2013-06-08","http://www.imdb.com/title/tt1457767/"
"47","tt0070047","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Exorcist","Feature Film","William Friedkin","7","8.0","122","1973","horror","281169","1973-12-26","http://www.imdb.com/title/tt0070047/"
"48","tt0084787","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Thing","Feature Film","John Carpenter","9","8.2","109","1982","horror, sci_fi","253981","1982-06-25","http://www.imdb.com/title/tt0084787/"
"49","tt0093437","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Lost Boys","Feature Film","Joel Schumacher","6","7.2","97","1987","comedy, fantasy, horror","91674","1987-07-31","http://www.imdb.com/title/tt0093437/"
"50","tt0116367","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","From Dusk Till Dawn","Feature Film","Robert Rodriguez","6","7.3","108","1996","crime, fantasy, horror","216526","1996-01-19","http://www.imdb.com/title/tt0116367/"
"51","tt0117571","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Scream","Feature Film","Wes Craven","9","7.2","111","1996","horror, mystery","219576","1996-12-18","http://www.imdb.com/title/tt0117571/"
"52","tt0120804","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Resident Evil","Feature Film","Paul W.S. Anderson","7","6.7","100","2002","action, horror, sci_fi","196592","2002-03-12","http://www.imdb.com/title/tt0120804/"
"53","tt0298130","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Ring","Feature Film","Gore Verbinski","7","7.1","115","2002","horror, mystery","246387","2002-10-02","http://www.imdb.com/title/tt0298130/"
"54","tt0295700","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Wrong Turn","Feature Film","Rob Schmidt","","6.1","84","2003","horror, thriller","86518","2003-05-30","http://www.imdb.com/title/tt0295700/"
"55","tt0363547","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Dawn of the Dead","Feature Film","Zack Snyder","","7.4","101","2004","action, horror, thriller","192432","2004-03-10","http://www.imdb.com/title/tt0363547/"
"56","tt0387564","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Saw","Feature Film","James Wan","8","7.7","103","2004","drama, horror, mystery","295121","2004-01-19","http://www.imdb.com/title/tt0387564/"
"57","tt0384806","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Amityville Horror","Feature Film","Andrew Douglas","7","6.0","90","2005","drama, horror, mystery, thriller","79706","2005-04-07","http://www.imdb.com/title/tt0384806/"
"58","tt0360486","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Constantine","Feature Film","Francis Lawrence","7","6.9","121","2005","drama, fantasy, horror, thriller","233350","2005-02-08","http://www.imdb.com/title/tt0360486/"
"59","tt0418819","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Land of the Dead","Feature Film","George A. Romero","4","6.2","93","2005","horror","78333","2005-06-18","http://www.imdb.com/title/tt0418819/"
"60","tt0463854","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","28 Weeks Later","Feature Film","Juan Carlos Fresnadillo","6","7.0","100","2007","horror, sci_fi","209890","2007-04-26","http://www.imdb.com/title/tt0463854/"
"61","tt0408236","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Sweeney Todd: The Demon Barber of Fleet Street","Feature Film","Tim Burton","","7.4","116","2007","drama, horror, musical, thriller","279728","2007-12-03","http://www.imdb.com/title/tt0408236/"
"62","tt1179904","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Paranormal Activity","Feature Film","Oren Peli","7","6.3","86","2007","horror","182972","2007-10-14","http://www.imdb.com/title/tt1179904/"
